Any,Ambit,Titularitat,Tipus,Edicio,Festa,DataInici,DataFi,Assistents,Espai,Organitzador,Nota
2022,"Festes i tradicions",Mixta,Festes,,Carnaval,24/2/2022,2/3/2022,,"Diversos espais de la ciutat",-1,
2022,"Festes i tradicions","Ajuntament de Barcelona",Festes,,"Cavalcada de Reis",5/1/2022,5/1/2022,425000,"Diversos espais de la ciutat","Institut de Cultura. Ajuntament de Barcelona",
2022,"Festes i tradicions",Mixta,Festes,,"Diada de l'Onze de Setembre",11/9/2022,11/9/2022,,"Diversos espais de la ciutat",-1,
2022,"Festes i tradicions",Mixta,Festes,,"Diada de Sant Jordi",23/4/2022,23/4/2022,,"Diversos espais de la ciutat",-1,
2022,"Festes i tradicions","Ajuntament de Barcelona",Festes,,"Espectacle Nit de Cap d'Any",31/12/2022,31/12/2022,120000,"Avinguda de la Reina Maria Cristina","Institut de Cultura. Ajuntament de Barcelona",
2022,Ciència,"Ajuntament de Barcelona",Festes,15,"Festa de la Ciència",28/5/2022,29/5/2022,12000,"Diversos espais de Ciutat Vella","Departament de Ciència i Universitats. Ajuntament de Barcelona",
2022,"Festes i tradicions",Mixta,Festes,,"Festa Major de Gràcia",15/8/2022,21/8/2022,,"Diversos espais del barri de Gràcia",-1,
2022,"Festes i tradicions",Mixta,Festes,,"Festa Major de Sants",20/8/2022,28/8/2022,,"Diversos espais del barri de Sants",-1,
2022,"Festes i tradicions","Ajuntament de Barcelona",Festes,,"Festes de Santa Eulàlia",11/2/2022,13/2/2022,,"Diversos espais de Ciutat Vella","Institut de Cultura. Ajuntament de Barcelona",
2022,"Festes i tradicions","Ajuntament de Barcelona",Festes,6,"In Museu",5/2/2022,5/2/2022,1606,"Diversos museus de la ciutat","Institut de Cultura. Ajuntament de Barcelona",
2022,"Festes i tradicions",Mixta,Festes,,"L'ou com balla",16/6/2022,19/6/2022,,"Diversos espais de la ciutat",-1,
2022,"Festes i tradicions","Ajuntament de Barcelona",Festes,,"La Mercè",23/9/2022,26/9/2022,1042097,"Diversos espais de la ciutat","Institut de Cultura. Ajuntament de Barcelona",
2022,"Festes i tradicions","Ajuntament de Barcelona",Festes,14,"Nit dels Museus",13/5/2022,13/5/2022,93762,"Diversos museus de la ciutat i de l'Àrea Metropolitana","Institut de Cultura. Ajuntament de Barcelona",
2022,"Festes i tradicions",Mixta,Festes,,"Revetlla de Sant Joan",23/6/2022,23/6/2022,,"Diversos espais de la ciutat",-1,
2022,"Festes i tradicions",Mixta,Festes,,"Sant Medir",3/3/2022,3/3/2022,,"Diversos espais de la ciutat",-1,
